County Name,State,7/6/2021
Abbeville County ,SC,2599
Acadia Parish ,LA,6832
Accomack County ,VA,2872
Ada County ,ID,53729
Adair County ,IA,876
Adair County ,KY,1967
Adair County ,MO,2505
Adair County ,OK,3226
Adams County ,CO,61063
Adams County ,ID,343
Adams County ,IL,8881
Adams County ,IN,3796
Adams County ,IA,349
Adams County ,MS,3136
Adams County ,NE,2993
Adams County ,ND,271
Adams County ,OH,2441
Adams County ,PA,9694
Adams County ,WA,2271
Adams County ,WI,1970
Addison County ,VT,1068
Aiken County ,SC,17597
Aitkin County ,MN,1389
Alachua County ,FL,25518
Alamance County ,NC,19065
Alameda County ,CA,89886
Alamosa County ,CO,1735
Albany County ,NY,24740
Albany County ,WY,4657
Albemarle County ,VA,5831
Alcona County ,MI,741
Alcorn County ,MS,3347
Aleutians East Borough ,AK,60
Aleutians West Census Area ,AK,203
Alexander County ,IL,475
Alexander County ,NC,4456
Alfalfa County ,OK,1155
Alger County ,MI,519
Allamakee County ,IA,1533
Allegan County ,MI,11200
Allegany County ,MD,7057
Allegany County ,NY,3562
Alleghany County ,NC,1098
Alleghany County ,VA,1387
Allegheny County ,PA,101962
Allen County ,IN,41962
Allen County ,KS,1260
Allen County ,KY,2125
Allen County ,OH,11951
Allen Parish ,LA,3277
Allendale County ,SC,945
Alpena County ,MI,2273
Alpine County ,CA,89
Amador County ,CA,3767
Amelia County ,VA,927
Amherst County ,VA,2990
Amite County ,MS,1278
Anderson County ,KS,854
Anderson County ,KY,1799
Anderson County ,SC,23300
Anderson County ,TN,8820
Anderson County ,TX,6242
Andrew County ,MO,2010
Andrews County ,TX,1840
Androscoggin County ,ME,8423
Angelina County ,TX,8705
Anne Arundel County ,MD,44005
Anoka County ,MN,42879
Anson County ,NC,2639
Antelope County ,NE,536
Antrim County ,MI,1636
Apache County ,AZ,11511
Appanoose County ,IA,1291
Appling County ,GA,1944
Appomattox County ,VA,1629
Aransas County ,TX,1300
Arapahoe County ,CO,62987
Archer County ,TX,813
Archuleta County ,CO,1056
Arenac County ,MI,1212
Arkansas County ,AR,2250
Arlington County ,VA,15319
Armstrong County ,PA,6014
Armstrong County ,TX,208
Aroostook County ,ME,1904
Arthur County ,NE,22
Ascension Parish ,LA,13013
Ashe County ,NC,2253
Ashland County ,OH,4370
Ashland County ,WI,1402
Ashley County ,AR,2062
Ashtabula County ,OH,7219
Asotin County ,WA,1511
Assumption Parish ,LA,2344
Atascosa County ,TX,5839
Atchison County ,KS,1540
Atchison County ,MO,463
Athens County ,OH,5251
Atkinson County ,GA,805
Atlantic County ,NJ,31690
Atoka County ,OK,1885
Attala County ,MS,2160
Audrain County ,MO,2811
Audubon County ,IA,537
Auglaize County ,OH,5045
Augusta County ,VA,6000
Aurora County ,SD,475
Austin County ,TX,2245
Autauga County ,AL,7262
Avery County ,NC,2165
Avoyelles Parish ,LA,4362
Baca County ,CO,325
Bacon County ,GA,1306
Bailey County ,TX,864
Baker County ,FL,3663
Baker County ,GA,165
Baker County ,OR,1041
Baldwin County ,AL,22043
Baldwin County ,GA,3894
Ballard County ,KY,422
Baltimore City ,MD,53169
Baltimore County ,MD,65996
Bamberg County ,SC,1599
Bandera County ,TX,1455
Banks County ,GA,1672
Banner County ,NE,36
Bannock County ,ID,8891
Baraga County ,MI,823
Barber County ,KS,374
Barbour County ,AL,2347
Barbour County ,WV,1515
Barnes County ,ND,1422
Barnstable County ,MA,13963
Barnwell County ,SC,2621
Barren County ,KY,4519
Barron County ,WI,6066
Barrow County ,GA,9011
Barry County ,MI,5969
Barry County ,MO,3123
Bartholomew County ,IN,8206
Barton County ,KS,2608
Barton County ,MO,1262
Bartow County ,GA,11410
Bastrop County ,TX,9824
Bates County ,MO,1366
Bath County ,KY,1052
Bath County ,VA,274
Baxter County ,AR,3551
Bay County ,FL,20069
Bay County ,MI,11266
Bayfield County ,WI,1290
Baylor County ,TX,300
Beadle County ,SD,2965
Bear Lake County ,ID,398
Beaufort County ,NC,4798
Beaufort County ,SC,17178
Beauregard Parish ,LA,3344
Beaver County ,OK,475
Beaver County ,PA,15559
Beaver County ,UT,754
Beaverhead County ,MT,928
Becker County ,MN,3874
Beckham County ,OK,2902
Bedford County ,PA,4729
Bedford County ,TN,6725
Bedford County ,VA,6691
Bee County ,TX,3538
Belknap County ,NH,4190
Bell County ,KY,3185
Bell County ,TX,25135
Belmont County ,OH,6175
Beltrami County ,MN,4084
Ben Hill County ,GA,1508
Benewah County ,ID,771
Bennett County ,SD,392
Bennington County ,VT,2055
Benson County ,ND,1105
Bent County ,CO,1545
Benton County ,AR,30024
Benton County ,IN,1067
Benton County ,IA,2618
Benton County ,MN,5831
Benton County ,MS,1026
Benton County ,MO,1750
Benton County ,OR,3290
Benton County ,TN,1688
Benton County ,WA,18049
Benzie County ,MI,1283
Bergen County ,NJ,105108
Berkeley County ,SC,18053
Berkeley County ,WV,12856
Berks County ,PA,48490
Berkshire County ,MA,6572
Bernalillo County ,NM,59212
Berrien County ,GA,1090
Berrien County ,MI,15539
Bertie County ,NC,1796
Bethel Census Area ,AK,3911
Bexar County ,TX,227474
Bibb County ,AL,2693
Bibb County ,GA,13625
Bienville Parish ,LA,1715
Big Horn County ,MT,2590
Big Horn County ,WY,1205
Big Stone County ,MN,605
Billings County ,ND,54
Bingham County ,ID,4857
Black Hawk County ,IA,16363
Blackford County ,IN,1378
Bladen County ,NC,3529
Blaine County ,ID,2404
Blaine County ,MT,824
Blaine County ,NE,21
Blaine County ,OK,1055
Blair County ,PA,13523
Blanco County ,TX,778
Bland County ,VA,690
Bleckley County ,GA,811
